material,A,B,X,m_e_m0,m_h_m0,source
CsPbI3,Cs,Pb,I,0.11,0.14,Filip2014_GW_SOC
CsPbBr3,Cs,Pb,Br,0.15,0.18,Filip2014_GW_SOC
CsPbCl3,Cs,Pb,Cl,0.20,0.24,Filip2014_GW_SOC
MAPbI3,MA,Pb,I,0.19,0.25,Brivio2014_GW_SOC
MAPbBr3,MA,Pb,Br,0.20,0.25,Brivio2014_GW_SOC
MAPbCl3,MA,Pb,Cl,0.23,0.28,Brivio2014_GW_SOC
FAPbI3,FA,Pb,I,0.10,0.10,Even2014_JPCL_SOC
FAPbBr3,FA,Pb,Br,0.13,0.15,Even2014_estimated
CsSnI3,Cs,Sn,I,0.09,0.12,Huang2013_LDA_SOC
CsSnBr3,Cs,Sn,Br,0.11,0.14,Huang2013_LDA_SOC
CsSnCl3,Cs,Sn,Cl,0.14,0.17,Huang2013_LDA_SOC
MASnI3,MA,Sn,I,0.08,0.10,Giorgi2014_JPCC_SOC
MASnBr3,MA,Sn,Br,0.10,0.12,Giorgi2014_JPCC_SOC
FASnI3,FA,Sn,I,0.09,0.11,Giorgi2014_estimated
FASnBr3,FA,Sn,Br,0.11,0.13,Giorgi2014_estimated
RbPbI3,Rb,Pb,I,0.12,0.15,estimated_CsPbI3_analogy
RbPbBr3,Rb,Pb,Br,0.16,0.19,estimated_CsPbBr3_analogy
CsGeI3,Cs,Ge,I,0.22,0.28,Krishnamoorthy2015_PRB
CsGeBr3,Cs,Ge,Br,0.26,0.32,Krishnamoorthy2015_PRB
CsGeCl3,Cs,Ge,Cl,0.30,0.36,Krishnamoorthy2015_PRB
