material,A,B,X,eps_inf,source
CsPbI3,Cs,Pb,I,4.47,Filip2014_GW
CsPbBr3,Cs,Pb,Br,4.05,Filip2014_GW
CsPbCl3,Cs,Pb,Cl,3.69,Filip2014_GW
MAPbI3,MA,Pb,I,4.80,Brivio2014_PRB
MAPbBr3,MA,Pb,Br,4.20,Brivio2014_PRB
MAPbCl3,MA,Pb,Cl,3.80,Brivio2014_PRB
FAPbI3,FA,Pb,I,5.00,Even2014_JPCL
FAPbBr3,FA,Pb,Br,4.50,Even2014_JPCL
CsSnI3,Cs,Sn,I,5.70,Huang2013_PRB
CsSnBr3,Cs,Sn,Br,5.10,Huang2013_PRB
CsSnCl3,Cs,Sn,Cl,4.60,Huang2013_PRB
MASnI3,MA,Sn,I,5.50,Giorgi2014_JPCC
MASnBr3,MA,Sn,Br,4.80,Giorgi2014_JPCC
FASnI3,FA,Sn,I,5.50,estimated
FASnBr3,FA,Sn,Br,4.90,estimated
RbPbI3,Rb,Pb,I,4.70,estimated_CsPbI3_analogy
RbPbBr3,Rb,Pb,Br,4.30,estimated_CsPbBr3_analogy
CsGeI3,Cs,Ge,I,6.00,Krishnamoorthy2015
CsGeBr3,Cs,Ge,Br,5.50,Krishnamoorthy2015
CsGeCl3,Cs,Ge,Cl,4.80,Krishnamoorthy2015
