material_id,A,B,X,r_A,r_B,r_X,chi_A,chi_B,chi_X,q_A,q_B,q_X,tolerance_t,oct_factor,a_lat_est_A,vol_est_A3,delta_chi_BX,mu_BX,is_organic_A,a_lat_mp_A,band_gap_gga_eV,Eform_eV_atom,e_above_hull_eV,Eg_target_eV,source
mp-1068340,Cs,Ge,Br,1.67,0.73,1.96,0.79,2.01,2.96,1,2,-1,0.9542,0.37245,7.6085,440.4451,0.95,2.69,0,5.6672,0.7856000000000001,-1.446721973931033,0.0,2.32,MP+exp_lit
mp-22988,Cs,Ge,Cl,1.67,0.73,1.81,0.79,2.01,3.16,1,2,-1,0.96879,0.40331,7.1842,370.7969,1.15,2.54,0,5.4617,2.153499999999999,-1.710205844931034,0.0,3.67,MP+exp_lit
mp-28377,Cs,Ge,I,1.67,0.73,2.2,0.79,2.01,2.66,1,2,-1,0.93396,0.33182,8.2873,569.1645,0.65,2.93,0,6.0828,0.9905,-1.069608593931036,0.0,1.63,MP+exp_lit
mp-600089,Cs,Pb,Br,1.67,1.19,1.96,0.79,2.33,2.96,1,2,-1,0.81486,0.60714,8.9095,707.2397,0.63,3.15,0,5.9486,1.7819,-1.6092965694310362,0.025073021999998002,2.36,MP+exp_lit
mp-23037,Cs,Pb,Cl,1.67,1.19,1.81,0.79,2.33,3.16,1,2,-1,0.82024,0.65746,8.4853,610.9403,0.83,3.0,0,5.6798,2.1878,-1.8739801989310392,0.012814112,3.04,MP+exp_lit
mp-1069538,Cs,Pb,I,1.67,1.19,2.2,0.79,2.33,2.66,1,2,-1,0.80723,0.54091,9.5884,881.5239,0.33,3.39,0,6.2751,1.4785,-1.238177400931034,0.025049344000002003,1.73,MP+exp_lit
mp-27214,Cs,Sn,Br,1.67,1.18,1.96,0.79,1.96,2.96,1,2,-1,0.81745,0.60204,8.8813,700.5255,1.0,3.14,0,5.839,0.5984,-1.560889131931036,0.011195139500000001,1.75,MP+exp_lit
mp-1070375,Cs,Sn,Cl,1.67,1.18,1.81,0.79,1.96,3.16,1,2,-1,0.82299,0.65193,8.457,604.8512,1.2,2.99,0,5.5648,0.9786999999999991,-1.554896451500002,0.022686821500000003,2.7,MP+exp_lit
mp-614013,Cs,Sn,I,1.67,1.18,2.2,0.79,1.96,2.66,1,2,-1,0.80962,0.53636,9.5601,873.7458,0.7,3.38,0,6.2862,0.449999999999999,-1.181536319931034,0.0,1.3,MP+exp_lit
FAPbBr3_lit,FA,Pb,Br,2.53,1.19,1.96,2.4,2.33,2.96,1,2,-1,1.00791,0.60714,8.9095,707.2397,0.63,3.15,1,9.08773635180951,,,,2.23,exp_lit
FAPbCl3_lit,FA,Pb,Cl,2.53,1.19,1.81,2.4,2.33,3.16,1,2,-1,1.02295,0.65746,8.4853,610.9403,0.83,3.0,1,8.654987001723343,,,,2.98,exp_lit
FAPbI3_lit,FA,Pb,I,2.53,1.19,2.2,2.4,2.33,2.66,1,2,-1,0.98661,0.54091,9.5884,881.5239,0.33,3.39,1,9.780135311947378,,,,1.48,exp_lit
FASnBr3_lit,FA,Sn,Br,2.53,1.18,1.96,2.4,1.96,2.96,1,2,-1,1.01112,0.60204,8.8813,700.5255,1.0,3.14,1,9.058886395137097,,,,2.0,exp_lit
FASnCl3_lit,FA,Sn,Cl,2.53,1.18,1.81,2.4,1.96,3.16,1,2,-1,1.02637,0.65193,8.457,604.8512,1.2,2.99,1,8.626137045050932,,,,2.9,exp_lit
FASnI3_lit,FA,Sn,I,2.53,1.18,2.2,2.4,1.96,2.66,1,2,-1,0.98953,0.53636,9.5601,873.7458,0.7,3.38,1,9.751285355274966,,,,1.41,exp_lit
